tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1039,54:02.5,11:21.7,3206,Hilltop,40.7311689,-74.0575736,3206,Hilltop,40.7311689,-74.0575736,47256,Customer,1970,0
230,56:22.2,00:12.5,3214,Essex Light Rail,40.7127742,-74.0364857,3275,Columbus Drive,40.7183552,-74.03891444,54245,Customer,1970,0
668,56:33.4,07:41.5,3192,Liberty Light Rail,40.7112423,-74.0557013,3267,Morris Canal,40.71241882,-74.03852552,42205,Customer,1970,0
113,58:13.7,00:07.1,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,43634,Customer,1970,0
882,58:30.8,13:13.0,3677,Glenwood Ave,40.72755147,-74.07106072,3186,Grove St PATH,40.71958612,-74.04311746,42453,Customer,1970,0
752,00:00.2,12:33.1,3679,Bergen Ave,40.72210379,-74.071455,3276,Marin Light Rail,40.71458404,-74.04281706,45264,Customer,1970,0
313,00:17.6,05:30.9,3681,Grand St,40.71517768,-74.03768331,3186,Grove St PATH,40.71958612,-74.04311746,31287,Customer,1970,0
493,02:55.5,11:09.2,3205,JC Medical Center,40.71653978,-74.04963791,3184,Paulus Hook,40.7141454,-74.0335519,40925,Customer,1970,0
257,03:17.7,07:35.0,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,40549,Customer,1970,0
1082,03:22.4,21:24.8,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,42704,Customer,1970,0
925,03:35.9,19:01.1,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3199,Newport Pkwy,40.7287448,-74.0321082,42432,Subscriber,1962,1
207,03:40.0,07:07.1,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,49257,Customer,1970,0
304,07:48.8,12:53.4,3273,Manila & 1st,40.72165072,-74.04288411,3275,Columbus Drive,40.7183552,-74.03891444,40056,Customer,1970,0
1408,09:29.1,32:58.1,3198,Heights Elevator,40.74871595,-74.0404433,3198,Heights Elevator,40.74871595,-74.0404433,44241,Customer,1970,0
2531,11:06.2,53:17.5,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,45354,Customer,1970,0
61,14:06.9,15:08.4,3184,Paulus Hook,40.7141454,-74.0335519,3184,Paulus Hook,40.7141454,-74.0335519,46472,Customer,1970,0
184,15:05.8,18:10.0,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3275,Columbus Drive,40.7183552,-74.03891444,47238,Customer,1970,0
1775,16:17.2,45:52.9,3184,Paulus Hook,40.7141454,-74.0335519,3185,City Hall,40.7177325,-74.043845,44555,Customer,1970,0
1743,16:40.2,45:44.1,3184,Paulus Hook,40.7141454,-74.0335519,3185,City Hall,40.7177325,-74.043845,45256,Customer,1970,0
674,16:42.6,27:57.5,3194,McGinley Square,40.72533993,-74.06762213,3272,Jersey & 3rd,40.72333159,-74.04595256,44710,Customer,1970,0
